2737,,,,,,,,,,,,,,
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes,Radius,Diameter,Avg Diameter
179,0.80486017,0.41771564,-0.19007859,0.37627646,1.0345052,0.93870783,3.0529501,14,1,0,77000,26.39170037,52.78340074,
180,0.18487749,-0.26965153,0.85926139,0.39341867,3.7865973,2.6156473,4.822917,3,1,0,4000,9.847450218,19.69490044,
181,0.41325668,0.35534617,0.60167867,0.58389282,3.0513887,1.1528373,1.6309985,7,1,1,17000,15.95095797,31.90191594,
182,0.58815962,0.75688094,-0.036604561,0.2825945,1.2541595,2.4818983,3.7418292,51,1,0,942000,60.81174016,121.6234803,
183,0.0226363,-0.83451277,0.45432666,0.31090721,3.4121716,1.0421219,2.3026357,7,1,0,83000,27.06012682,54.12025365,
184,-0.7153101,-0.31107983,0.078919433,0.62075156,0.93776613,2.1748366,3.1540539,5,1,0,13000,14.58651628,29.17303256,
185,0.42393914,0.69942999,-0.53499889,0.21177685,1.4188596,1.4638286,0.41052839,2,1,0,2000,7.815926418,15.63185284,
186,0.37290201,-0.4811064,0.30221564,0.73358464,1.8393809,1.3088496,3.6622376,18,1,1,156000,33.39478587,66.78957173,
187,0.62526941,0.026818924,-0.5882864,0.51209176,4.03899,1.3524271,3.953259,9,1,1,76000,26.2769524,52.5539048,
188,0.36858475,0.91889864,-0.12141272,0.070919529,0.63192284,1.7440453,2.6161573,3,1,0,10000,13.36504618,26.73009235,
189,0.62889934,0.43137115,-0.59672803,0.24964009,1.5398481,1.1759748,3.30897,7,1,0,9000,12.90381021,25.80762041,
190,-0.63573164,0.066172458,0.38880628,0.66354817,0.13245687,2.0156026,3.3524685,12,1,0,67000,25.19583358,50.39166716,
191,-0.23914328,0.2427958,0.51697719,0.78523582,5.7996387,2.5097325,2.4077332,21,1,0,280000,40.58415183,81.16830365,
192,-0.086288743,-0.16043049,-0.84083837,0.50971282,2.1031566,0.36637348,6.2316952,18,1,1,197000,36.09601061,72.19202122,
193,-0.12222429,-0.5509271,0.56362736,0.60321206,5.9454141,1.9179701,4.6071577,5,1,0,18000,16.2577821,32.51556421,
194,0.49441233,0.69192576,-0.52606237,0.007318649,3.8835702,1.173545,3.7666681,5,1,0,14000,14.95132937,29.90265873,
195,0.893776,-0.35297021,-0.14151847,0.23780051,5.1781907,2.0370522,1.6265874,21,1,0,177000,34.83064785,69.66129569,
196,-0.71412098,-0.52060741,-0.44659239,0.1398371,4.2805219,2.3110669,1.799332,17,1,0,154000,33.25145884,66.50291768,
197,0.006195045,0.76109689,0.08190722,0.64341617,0.51469749,2.0460117,0.49635485,5,1,0,23000,17.64194277,35.28388554,
198,-0.18395804,-0.65754956,0.46693894,0.56192172,3.7047405,2.3924689,0.74347192,3,1,0,3000,8.947002289,17.89400458,
